analyte_id	analyte_submitter_id	case_id	case_submitter_id	project_id	sample_id	sample_submitter_id	portion_id	portion_submitter_id	ribosomal_rna_28s_16s_ratio	analyte_volume	well_number	analyte_type	analyte_quantity	normal_tumor_genotype_snp_match	state	a260_a280_ratio	amount	spectrophotometer_method	analyte_type_id	concentration
77fcd320-c5ba-4620-ba74-31609a55f32d	TCGA-BC-A8YO-01A-31-A645-42-X041-S01	f53a70d9-a774-4969-896e-2dcdd4d02a7a	TCGA-BC-A8YO	TCGA-LIHC	4218932d-170a-41f0-89ec-92a71a7b13dd	TCGA-BC-A8YO-01A	ea60fbeb-e9b9-4115-ac41-bee17204c80c	TCGA-BC-A8YO-01A-31-A645-42	--	--	--	DNA	--	--	released	--	--	--	--	--
6db5710c-250c-4f08-8424-9e8a2134fd4f	TCGA-DD-AACL-01A-31-A646-42-X034-S12	3da3cfec-5464-4dd8-9757-a0cdfe3536f8	TCGA-DD-AACL	TCGA-LIHC	bfa0e9b2-6a36-4865-9455-0a942dc9ca44	TCGA-DD-AACL-01A	49e8423d-5cb8-4257-9be8-0143d787c41f	TCGA-DD-AACL-01A-31-A646-42	--	--	--	DNA	--	--	released	--	--	--	--	--
a934f251-66ff-48ee-bba1-a07afec60fd0	TCGA-BC-A10S-01A-31-A645-42-X024-S02	592ef526-176a-42e0-bbeb-fb62d369a343	TCGA-BC-A10S	TCGA-LIHC	ade2df15-2ed2-4dee-a710-e2814de6e4ef	TCGA-BC-A10S-01A	ca8b4e55-2856-4560-828d-c74f6f311e51	TCGA-BC-A10S-01A-31-A645-42	--	--	--	DNA	--	--	released	--	--	--	--	--
63a16927-98a3-4565-a497-6e1d4b1721cb	TCGA-DD-AAC8-01A-21-A646-42-X025-S06	496beef9-80d9-4734-a23d-334ae1b6aaab	TCGA-DD-AAC8	TCGA-LIHC	3e29928b-b802-4eb8-bfcc-a88e3edf1806	TCGA-DD-AAC8-01A	7ba22083-6b58-4b21-b764-6d1619419aaf	TCGA-DD-AAC8-01A-21-A646-42	--	--	--	DNA	--	--	released	--	--	--	--	--
c2e5638a-50cc-48e0-8480-cfdc543b12c8	TCGA-G3-AAV0-01A-21-A644-42-X030-S06	6e657705-8579-433b-af7a-b6155b599518	TCGA-G3-AAV0	TCGA-LIHC	d4862074-e347-4318-a4a4-bf1878ead618	TCGA-G3-AAV0-01A	51cd5e23-c95f-4399-b77f-95b4c33e9173	TCGA-G3-AAV0-01A-21-A644-42	--	--	--	DNA	--	--	released	--	--	--	--	--
c7fd6b7f-3050-4a9c-b71a-fd9e32b2f7d3	TCGA-BC-A3KF-01A-31-A644-42-X029-S04	07dd49fc-8a76-41e8-9eb3-107336f68701	TCGA-BC-A3KF	TCGA-LIHC	ece7aff8-7303-4d9a-b5ef-abb871571686	TCGA-BC-A3KF-01A	273eaf94-cc00-4303-b5fa-d097580cb5e6	TCGA-BC-A3KF-01A-31-A644-42	--	--	--	DNA	--	--	released	--	--	--	--	--
15f9a473-6f1f-47a2-a50f-4ad27dffcaca	TCGA-DD-AACI-01A-21-A646-42-X036-S08	e6fa354e-ada7-41e0-8c8b-38520a5e6601	TCGA-DD-AACI	TCGA-LIHC	3df80a55-0381-48a9-acb0-58bcf702e209	TCGA-DD-AACI-01A	1916fdf9-2e1a-4b05-b5c6-98d5dbea8488	TCGA-DD-AACI-01A-21-A646-42	--	--	--	DNA	--	--	released	--	--	--	--	--
05dfbd54-b73b-4a17-8274-aa851a614d82	TCGA-BC-A10U-01A-31-A645-42-X026-S02	23103931-cc29-4f89-ae9c-79d53401ecea	TCGA-BC-A10U	TCGA-LIHC	f948e99c-22ba-4037-8a69-34b15f9fa557	TCGA-BC-A10U-01A	9cfce167-ae10-47e5-8e18-947e06323052	TCGA-BC-A10U-01A-31-A645-42	--	--	--	DNA	--	--	released	--	--	--	--	--
83eef638-51af-44d0-bd99-aaac61245f6a	TCGA-BC-A5W4-01A-31-A645-42-X033-S05	6bb5d506-8fca-43f3-90a6-03c915d7ede2	TCGA-BC-A5W4	TCGA-LIHC	7b9c40bf-6ad0-491e-84fc-f835fe3589c5	TCGA-BC-A5W4-01A	e4eec6cc-fbeb-4fea-8d51-fb07391a9d4a	TCGA-BC-A5W4-01A-31-A645-42	--	--	--	DNA	--	--	released	--	--	--	--	--
a49f501b-f6f5-487c-a36a-506f889bff00	TCGA-BC-A10X-01A-31-A645-42-X028-S12	3dc48ea9-a3c6-437f-af5a-88feb300cc5f	TCGA-BC-A10X	TCGA-LIHC	1ae03bc9-de5a-417c-a617-7256c8d2d9b8	TCGA-BC-A10X-01A	9a74f036-42c5-44e2-8181-63d2b7526d80	TCGA-BC-A10X-01A-31-A645-42	--	--	--	DNA	--	--	released	--	--	--	--	--
